plz;note
9638;Lichtenberg/Erzgeb.
9648;Mittweida, Kriebstein
9661;Hainichen, Rossau, Striegistal
9669;Frankenberg
10115;Berlin Mitte
10117;Berlin Mitte
10119;Berlin Mitte
10178;Berlin Mitte
10179;Berlin Mitte
10243;Berlin Friedrichshain
10245;Berlin Friedrichshain
10247;Berlin Friedrichshain
10249;Berlin Friedrichshain
10315;Berlin Friedrichsfelde
10317;Berlin Rummelsburg
10318;Berlin Karlshorst
10319;Berlin
10365;Berlin Lichtenberg
10367;Berlin Lichtenberg
10369;Berlin Lichtenberg
10405;Berlin Prenzlauer Berg
10407;Berlin Prenzlauer Berg
10409;Berlin Prenzlauer Berg
10435;Berlin Prenzlauer Berg
10437;Berlin Prenzlauer Berg
10439;Berlin Prenzlauer Berg
10551;Berlin Moabit
10553;Berlin Moabit
10555;Berlin Moabit
10557;Berlin Moabit
10559;Berlin Moabit
10585;Berlin Charlottenburg
10587;Berlin Charlottenburg
10589;Berlin Charlottenburg
10623;Berlin Charlottenburg
10625;Berlin Charlottenburg
10627;Berlin Charlottenburg
10629;Berlin Charlottenburg
10707;Berlin Wilmersdorf
10709;Berlin Wilmersdorf
10711;Berlin Halensee
10713;Berlin Wilmersdorf
10715;Berlin Wilmersdorf
10717;Berlin Wilmersdorf
10719;Berlin Wilmersdorf
10777;Berlin Wilmersdorf
10779;Berlin Schöneberg
10781;Berlin Schöneberg
10783;Berlin Schöneberg
10785;Berlin Tiergarten
10787;Berlin Tiergarten
10789;Berlin Schöneberg
10823;Berlin-West
10825;Berlin
10827;Berlin
10829;Berlin Schöneberg
10961;Berlin Kreuzberg
10963;Berlin Kreuzberg
10965;Berlin Kreuzberg
10967;Berlin Kreuzberg
10969;Berlin Kreuzberg
10997;Berlin Kreuzberg
10999;Berlin Kreuzberg
12043;Berlin Neukölln
12045;Berlin Neukölln
12047;Berlin Kreuzberg
12049;Berlin Neukölln
12051;Berlin Neukölln
12053;Berlin Neukölln
12055;Berlin Neukölln
12057;Berlin Neukölln
12059;Berlin Neukölln
12099;Berlin Tempelhof
12101;Berlin Tempelhof
12103;Berlin Tempelhof
12105;Berlin Mariendorf
12107;Berlin Mariendorf
12109;Berlin Mariendorf
12157;Berlin Schöneberg
12159;Berlin Friedenau
12161;Berlin Friedenau
12163;Berlin Steglitz
12165;Berlin Steglitz
12167;Berlin Steglitz
12169;Berlin Steglitz
12203;Berlin Lichtenfelde
12205;Berlin Lichtenfelde
12207;Berlin Lichtenfelde
12209;Berlin-Lichterfelde
12247;Berlin Lankwitz
12249;Berlin Lankwitz
12277;Berlin
12279;Berlin
12305;Berlin
12307;Berlin
12309;Berlin
12347;Berlin Britz
12349;Berlin Buckow
12351;Berlin Buckow
12353;Berlin Gropiusstadt
12355;Berlin Rudow
12357;Berlin Rudow
12359;Berlin Britz
12435;Berlin Alt-Treptow
12437;Berlin Baumschulenweg
12439;Berlin Niederschöneweide
12459;Berlin Oberschöneweide
12487;Berlin
12489;Berlin Teltowkanal III
12524;Berlin Altglienicke
12526;Berlin Bohnsdorf
12527;Berlin Schmöckwitz
12529;Schönefeld
12555;Berlin Köpenick
12557;Berlin
12559;Berlin Köpenick
12587;Berlin Wiesengrund
12589;Berlin Rahnsdorf
12619;Berlin
12621;Berlin Kaulsdorf
12623;Berlin Mahlsdorf
12627;Berlin Hellersdorf
12629;Berlin
12679;Berlin
12681;Berlin
12683;Berlin Biesdorf
12685;Berlin
12687;Berlin
12689;Berlin
13051;Berlin Neu-Schönhausen
13053;Berlin Alt-Hohenschönhausen
13055;Berlin Alt-Hohenschönhausen
13057;Berlin Falkenberg
13059;Berlin Wartenberg
13086;Berlin Weißensee
13088;Berlin Weißensee
13089;Berlin Heinelsdorf
13125;Berlin Buch
13127;Berlin Französisch Buchholz
13129;Berlin Blankenburg
13156;Berlin Niederschönhausen
13158;Berlin Rosenthal
13159;Berlin Blankenfelde
13187;Berlin Pankow
13189;Berlin Pankow
13347;Berlin Wedding
13349;Berlin Wedding
13351;Berlin Wedding
13353;Berlin Wedding
13355;Berlin Wedding
13357;Berlin Gesundbrunnen
13359;Berlin Gesundbrunnen
13403;Berlin Reinickendorf
13405;Berlin Wedding
13407;Berlin-West
13409;Berlin-West
13435;Berlin Märkisches Viertel
13437;Berlin Reinickendorf
13439;Berlin Märkisches Viertel
13465;Berlin Frohnau
13467;Berlin Hermsdorf
13469;Berlin Lübars
13503;Berlin Tegel
13505;Berlin Tegel
13507;Berlin Tegel
13509;Berlin Reinickendorf
13581;Berlin Spandau
13583;Berlin Spandau
13585;Berlin Spandau
13587;Berlin Hakenfelde
13589;Berlin Falkenhagener Feld
13591;Berlin Staaken
13593;Berlin Wilhelmstadt
13595;Berlin Wlhelmstadt
13597;Berlin Spandau
13599;Berlin Haselhorst
13627;Berlin Charlottenburg-Nord
13629;Berlin Siemensstadt
14050;Berlin Westend
14052;Berlin Westend
14053;Berlin Westend
14055;Berlin Westend
14057;Berlin Charlottenburg
14059;Berlin Charlottenburg
14089;Berlin Gatow
14109;Berlin Wannsee
14129;Berlin Nikolassee
14163;Berlin Zehlendorf
14165;Berlin Zehlendorf
14167;Berlin Zehlendorf
14169;Berlin Zehlendorf
14193;Berlin Grunewald
14195;Berlin Dahlem
14197;Berlin Wilmersdorf
14199;Berlin Schmargendorf
14467;Potsdam
14469;Potsdam
14471;Potsdam
14473;Potsdam
14476;Potsdam
14478;Potsdam
14480;Potsdam
14482;Potsdam
14513;Teltow
14532;Kleinmachnow
14542;Werder/ Havel
14547;Beelitz
14548;Schwielowswee
14550;Groß Kreutz
14552;Michendorf
14554;Seddiner See
14558;Nuthetal
14612;Falkensee
14621;Schönwalde
14624;Dallgow-Döberitz
14641;Nauen
14656;Brieselang
14662;Friesack
14669;Ketzin
14712;Rathenow
14715;Milower Land, Schollene, Nennhausen u.a.
14727;Premnitz
14728;Rhinow
14770;Brandenburg/ Havel
14772;Brandenburg/ Havel
14774;Brandenburg/ Havel
14776;Brandenburg/Havel
14778;Beetzsee, Wollin, Wenzlow, Golzow u.a.
14789;Wusterwitz, Rosenau, Bensdorf
14793;Ziesar
14797;Lehnin
14798;Havelsee
14806;Belzig
14822;Brück, Borkheide u.a.
14823;Niemegk
14827;Wiesenburg
14828;Görzke
14913;Jüterbog
14929;Treuenbrietzen
14943;Luckenwalde
14947;Nuthe-Urstromtal
14959;Trebbin
14974;Ludwigsfelde
14979;Großbeeren
15230;Frankfurt/ Oder
15232;Frankfurt/ Oder
15234;Frankfurt/ Oder
15236;Treplin, Jacobsdorf, Frankfurt (Oder)
15295;Brieskow-Finkenheerd
15299;Müllrose
15306;Seelow, Lietzen u.a.
15320;Neutrebbin, Neuhardenberg
15324;Letschin
15326;Zeschdorf, Podelzig, Lebus
15328;Golzow, Zechin u.a.
15344;Strausberg
15345;Lichtenow, Altlandsberg u.a.
15366;Neuenhagen, Hoppegarten
15370;Fredersdorf-Vogelsdorf, Petershagen
15374;Müncheberg
15377;Oberbarnim, Märkische Höhe u.a.
15378;Rüdersdorf
15517;Fürstenwalde/ Spree
15518;Briesen, Rauen u.a.
15526;Bad Saarow-Pieskow
15528;Spreenhagen
15537;Erkner
15562;Rüdersdorf
15566;Schöneiche bei Berlin
15569;Woltersdorf
15711;Königs Wusterhausen
15712;Königs Wusterhausen
15713;Königs Wusterhausen
15732;Schulzendorf b. Eichenwade
15738;Zeuthen
15741;Bestensee
15745;Wildau
15746;Groß Köris
15748;Märkisch Buchholz
15749;Mittenwalde
15754;Heidesee
15755;Teupitz
15757;Halbe
15806;Zossen
15827;Blankenfelde-Mahlow
15831;Blankenfelde-Mahlow
15834;Rangsdorf
15837;Baruth
15838;Am Mellensee
15848;Beeskow
15859;Storkow
15864;Wendisch Rietz
15868;Lieberose
15890;Eisenhüttenstadt
15898;Neuzelle
15907;Lübben (Spreewald)
15910;Schönwalde
15913;Straupitz
15926;Luckau, Waldrehna, Heideblick, Fürstlich Drehna
15936;Dahme u.a.
15938;Golßen
16225;Eberswalde
16227;Eberswalde
16230;Melchow, Chorin u.a.
16244;Schorfheide
16247;Joachimsthal u.a.
16248;Oderberg u.a.
16259;Bad Freienwalde u.a.
16269;Wriezen
16278;Angermünde
16303;Schwedt
16306;Biesendahlshof, Berkholz-Meyenburg
16307;Gartz (Oder)
16321;Bernau
16341;Panketal
16348;Wandlitz
16356;Werneuchen
16359;Biesenthal
16515;Oranienburg, Mühlenbecker Land
16540;Hohen Neuendorf
16547;Birkenwerder
16548;Glienicke/Nordbahn
16552;Schildow
16556;Borgsdorf
16559;Liebenwalde
16562;Hohen Neuendorf OT Bergfelde
16567;Mühlenbecker Land
16727;Velten, Oberkrämer
16761;Hennigsdorf
16766;Kremmen
16767;Leegebruch
16775;Gransee, Löwenberg
16792;Zehdenick
16798;Fürstenberg
16816;Neuruppin
16818;Fehrbellin, Temnitzquell, Märkisch Linden u.a.
16827;Neuruppin
16831;Rheinsberg
16833;Fehrbellin
16835;Lindow u.a.
16837;Rheinsberg
16845;Neustadt (Dosse) u.a.
16866;Gumtow, Kyritz u.a.
16868;Wusterhausen
16909;Wittstock/Dosse, Heiligengrabe
16928;Pritzwalk, Groß Pankow
16945;Meyenburg, Kümmernitztal u.a.
16949;Triglitz, Putlitz
17033;Neubrandenburg
17034;Neubrandenburg
17036;Neubrandenburg
17039;Sponholz, Neunkirchen u.a.
17087;Altentreptow
17089;Burow
17091;Rosenow
17094;Cölpin
17098;Friedland
17099;Friedland, Galenbeck, Datzetal
17109;Demmin
17111;Demmin u.a.
17121;Loitz
17126;Jarmen
17129;Bentzin
17139;Malchin
17153;Stavenhagen u.a.
17154;Neukalen
17159;Dargun
17166;Dahmen, Groß Wokern, Teterow
17168;Jördenstorf, Prebberede u.a.
17179;Gnoien u.a.
17192;Waren/ Müritz
17194;Grabowhöfe, Moltzow u.a.
17207;Röbel/Müritz
17209;Wredenhagen
17213;Malchow u.a.
17214;Nossentiner Hütte
17217;Penzlin
17219;Möllenhagen
17235;Neustrelitz
17237;Möllenbeck
17248;Rechlin
17252;Mirow
17255;Wesenberg
17258;Feldberger Seenlandschaft
17268;Templin, Boitzenburg u.a.
17279;Lychen
17291;Prenzlau, Nordwestuckermark u.a.
17309;Pasewalk u.a.
17321;Löcknitz, Rothenklempenow
17322;Blankensee, Grambow u.a.
17326;Brüssow
17328;Penkun, Schuckmannshöhe
17329;Krackow, Nadrensee
17335;Strasburg
17337;Uckerland, Groß Luckow, Schönhausen
17348;Woldegk
17349;Groß Miltzow
17358;Torgelow
17367;Eggesin
17373;Ueckermünde
17375;Vogelsang-Warsin, Meiersberg, Mönkebude u.a.
17379;Ferdinandshof u.a.
17389;Anklam
17390;Klein Bünzow
17391;Krien u.a.
17392;Spantekow
17398;Ducherow
17406;Usedom u.a.
17419;Seebad Ahlbeck
17424;Ostseebad Heringsdorf
17429;Benz, Heringsdorf u.a.
17438;Wolgast
17440;Kröslin, Krummin, Lassan u.a.
17449;Karlshagen
17454;Zinnowitz
17459;Koserow
17489;Greifswald
17491;Greifswald
17493;Greifswald
17495;Karlsburg
17498;Neuenkirchen
17506;Gützkow
17509;Lubmin
18055;Rostock
18057;Rostock
18059;Rostock, Papendorf u.a.
18069;Rostock, Lambrechtshagen
18106;Rostock
18107;Elmenhorst/Lichtenhagen, Rostock
18109;Rostock
18119;Rostock
18146;Rostock
18147;Rostock
18181;Rostock, Graal-Müritz
18182;Rostock, Gelbensande, Rövershagen u.a.
18184;Roggentin, Broderstorf u.a.
18190;Sanitz
18195;Tessin, Grammow u.a.
18196;Dummerstorf
18198;Stäbelow, Kritzmow
18209;Bad Doberan, Bartenshagen-Parkentin u.a.
18211;Retschow, Admannshagen-Bargeshagen u.a.
18225;Kühlungsborn
18230;Rerik, Bastorf, Biendorf
18233;Neubukow, Ravensberg u.a.
18236;Kröpelin, Carinerland
18239;Satow
18246;Bützow u.a.
18249;Bernitt, Qualitz, Warnow, Zernin u.a.
18258;Schwaan u.a.
18273;Güstrow
18276;Reimershagen, Lohmen, Zehna, Hägerfelde u.a.
18279;Lalendorf, Langhagen
18292;Krakow, Dobbin-Linstow u.a.
18299;Laage, Wardow u.a.
18311;Ribnitz-Damgarten
18314;Löbnitz
18317;Saal
18320;Ahrenshagen-Daskow, Trinwillershagen u.a.
18334;Bad Sülze
18337;Marlow
18347;Dierhagen
18356;Barth
18374;Zingst a. Darß
18375;Prerow a. Darß
18435;Stralsund
18437;Stralsund
18439;Stralsund
18442;Niepars
18445;Prohn
18461;Franzburg, Richtenberg, u.a.
18465;Tribsees
18469;Velgast
18507;Grimmen
18510;Wittenhagen
18513;Glewitz
18516;Rakow
18519;Miltzow u.a.
18528;Bergen/ Rügen
18546;Sassnitz
18551;Sagard
18556;Dranske
18565;Hiddensee
18569;Gingst
18573;Samtens
18574;Garz/ Rügen
18581;Putbus
18586;Sellin u.a.
